"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Создания внутреннего грузовладельца","318952","test_create_inner_client[lke]","tests","Sun Sep 28 23:58:54 SAMT 2025","failed","Mon Sep 29 00:04:13 SAMT 2025","","test_registration","",""
"ЛКЗ, Тестирование: Создание ФТЛ заявки - город, грузоперевозка, новое ГМ, публикация, ПРР+Страховка.","144617","test_add_new_ftl_lkz_asr[lkz]","tests","Sun Sep 28 23:33:20 SAMT 2025","broken","Sun Sep 28 23:35:44 SAMT 2025","","test_new_cdr","",""
"ЛКЭ. Тест передачи ГМ Экспедитору: создаем - ГМ ГВ, передаем - Экс, создаем - LTL заявку, публикация - не публикуем","123571","test_cargo_place_transfer_lke[lke]","tests","Sun Sep 28 22:20:43 SAMT 2025","broken","Sun Sep 28 22:22:47 SAMT 2025","","test_cargo_place_operations","",""
"ЛКЭ. Тест создания и редактирования Тягача внутр. ПВ Экс: 1) создаем Тяг: номер - ВТЯГ-timestamp, модель - Тягач, выпуск - 2019г, собственник - Аренда,доп.парам - Все2) редактируем Тяг: выпуск - 2021г, собственник - Лизинг, доп.парам - Нет","9225","test_tractor_inner_edit_lke[lke]","tests","Mon Sep 29 02:03:03 SAMT 2025","broken","Mon Sep 29 02:03:12 SAMT 2025","","test_vehicle_edit_lke","",""
"ЛКП. Тест сортировок списков заявок по всем столбцам","66336","test_sorting_requests_lkp[lkp]","tests","Mon Sep 29 00:26:46 SAMT 2025","passed","Mon Sep 29 00:27:52 SAMT 2025","","test_sorting","",""
"ЛКЭ. Тест создания ТС Внутр. ПВ: номер - ВТС-timestamp, модель - Монорамник, выпуск - 2023г, собственник - Подрядчик, тип - Грузовой, кузов - Тент, грузоподемность/объем/палеты/высота - Рандом, добавить/убрать - 2 и 1 водителя, эксплуатация - останавливаем/восстанавливаем/завершаем","68909","test_transport_inner_add_lke[lke]","tests","Mon Sep 29 01:54:43 SAMT 2025","broken","Mon Sep 29 01:55:51 SAMT 2025","","test_vehicle_add_lke","",""
"ЛКЭ. Создание полей","11757","test_create_custom_field2_lke[lke]","tests","Mon Sep 29 00:13:53 SAMT 2025","passed","Mon Sep 29 00:14:05 SAMT 2025","","test_settings_custom_lke","",""
"ЛКЭ. Удаление полей","61153","test_delete_custom_field_lke[lke]","tests","Mon Sep 29 00:12:34 SAMT 2025","passed","Mon Sep 29 00:13:35 SAMT 2025","","test_settings_custom_lke","",""
"ЛКП. Тест создания и редактирования ТС ПВ: 1) создаем ТС: номер - ТС-timestamp, модель - Монорамник, выпуск - 2023г, собственник - Безвозмездное пользование, тип - Манипулятор, кузов - Бортовой, грузоподемность/высота/стрела - Макс. доп.парам - Все2) редактируем ТС: тип - Грузовая + Грузопас, кузов - Тентованный, грузоподемность/палеты/высота/чел - Мин, доп.парам - Нет","45841","test_transport_edit_lkp[lkp]","tests","Mon Sep 29 02:03:30 SAMT 2025","failed","Mon Sep 29 02:04:16 SAMT 2025","","test_vehicle_edit_lkp","",""
"ЛКП. Тест создания ТС ПВ: номер - ТС-timestamp, модель - Монорамник, выпуск - 2023г, собственник - Подрядчик, тип - Грузовой, кузов - Тент, грузоподемность/объем/палеты/высота - Рандом, добавить/убрать - 2 и 1 водителя, эксплуатация - останавливаем/восстанавливаем/завершаем","30688","test_transport_add_lkp[lkp]","tests","Mon Sep 29 01:58:35 SAMT 2025","failed","Mon Sep 29 01:59:05 SAMT 2025","","test_vehicle_add_lkp","",""
"ЛКЭ, Назначение пользователя в подразделение","9703","test_accept_user_to_division_lke[lke]","tests","Mon Sep 29 01:04:43 SAMT 2025","passed","Mon Sep 29 01:04:53 SAMT 2025","","test_subdivision_lke","",""
"ЛКЭ. Тест назначения пользователя к внутр. ПВ","107355","test_user_contractor_lke[lke]","tests","Mon Sep 29 01:49:57 SAMT 2025","passed","Mon Sep 29 01:51:44 SAMT 2025","","test_user_operations_lke","",""
"ЛКЗ. Тест копирования LTL тарифа: фильтр - LTL, название - LTL-timestamp, тип - Старый, мин.вес/объем вес/сбор прям./сбор обр. - Рандом, регион - Старый, минималка/доплата/темп.коэф/срок - Рандом, оригинал - Удаляем","8577","test_tariff_ltl_copy_lkz[lkz]","tests","Mon Sep 29 01:20:17 SAMT 2025","passed","Mon Sep 29 01:20:26 SAMT 2025","","test_tariff_edit_lkz","",""
"ЛКП. Тест создания ПРР тарифа: название - ПРР-timestamp, спец. - Грузчик, минималка/доплата/МКАД - Рандом","14510","test_luo_tariff_add_lkz[lkz]","tests","Mon Sep 29 01:36:45 SAMT 2025","passed","Mon Sep 29 01:36:59 SAMT 2025","","test_tariff_luo_add_lkz","",""
"ЛКЭ. Редактирование полей","12637","test_edit_custom_field_lke[lke]","tests","Mon Sep 29 00:12:04 SAMT 2025","passed","Mon Sep 29 00:12:17 SAMT 2025","","test_settings_custom_lke","",""
"ЛКП. Тест удаления тарифа: тариф - Первый в списке","3773","test_tariff_delete_lkp[lkp]","tests","Mon Sep 29 01:15:30 SAMT 2025","passed","Mon Sep 29 01:15:34 SAMT 2025","","test_tariff_edit_lkp","",""
"ЛКЗ. Тест сортировок списков адресов и тарифов по всем столбцам","59986","test_sorting_tariff_point_lkz[lkz]","tests","Mon Sep 29 00:42:33 SAMT 2025","passed","Mon Sep 29 00:43:33 SAMT 2025","","test_sorting","",""
"ЛКЗ. Тест удаления пользователя: пользователь - Первый в списке","2357","test_user_delete_lkz[lkz]","tests","Mon Sep 29 01:39:56 SAMT 2025","passed","Mon Sep 29 01:39:59 SAMT 2025","","test_user_delete","",""
"ЛКЗ. Тест сортировок списков заявок по всем столбцам","38581","test_sorting_requests_lkz[lkz]","tests","Mon Sep 29 00:24:50 SAMT 2025","passed","Mon Sep 29 00:25:29 SAMT 2025","","test_sorting","",""
"ЛКЭ. Тест фильтров в разделе Застрахованные Рейсы ","7050","test_filter_insured_order_lke[lke]","tests","Sun Sep 28 23:13:52 SAMT 2025","failed","Sun Sep 28 23:13:59 SAMT 2025","","test_filter_old_ftl","",""
"ЛКП. Тест прикрепления и открепления договора страхования к ГВ","17712","test_insurance_contract_attach_lkp[lkp]","tests","Sun Sep 28 23:19:50 SAMT 2025","failed","Sun Sep 28 23:20:08 SAMT 2025","","test_insurance_operations","",""
"ЛКП Тест фильтра 'ТС' в разделе справочники","127386","test_transport_directory_lkp[lkp]","tests","Sun Sep 14 22:01:03 SAMT 2025","failed","Sun Sep 14 22:03:10 SAMT 2025","","test_filter_directory_lkp","",""
"ЛКП. Тест сортировок списков документов и застрахованных рейсов по всем столбцам","0","test_sorting_documents_lkp[lkp]","tests","Mon Sep 29 00:42:19 SAMT 2025","broken","Mon Sep 29 00:42:19 SAMT 2025","","test_sorting","",""
"ЛКП. Тест сортировок списков реестров по всем столбцам","1709","test_sorting_registries_lkp[lkp]","tests","Mon Sep 29 00:41:24 SAMT 2025","failed","Mon Sep 29 00:41:25 SAMT 2025","","test_sorting","",""
"ЛКЭ. Тест создания адреса: статус - Активный, заполняем поля - Все, в конце - Удаляем","51045","test_address_edit_lke[lke]","tests","Sun Sep 28 21:59:39 SAMT 2025","passed","Sun Sep 28 22:00:30 SAMT 2025","","test_address_edit","",""
"ЛКЭ. Тест создания LTL тарифа: название - LTL-timestamp, тип - Короб, мин.вес/объем вес/сбор прям./сбор обр. - Рандом, регион - Свердл/Алтай, минималка/доплата/темп.коэф/срок - Рандом","74735","test_ltl_tariff_add_lke[lke]","tests","Mon Sep 29 01:31:02 SAMT 2025","broken","Mon Sep 29 01:32:17 SAMT 2025","","test_tariff_ltl_add_lke","",""
"ЛКЭ. Тест создания и редактирования ТС внутр ПВ: 1) создаем ТС: номер - ВТС-timestamp, модель - Монорамник, выпуск - 2023г, собственник - Подрядчик, тип - Грузопасс, кузов - Металлический, грузоподемность/высота/чел - Мин., доп.парам - Нет2) редактируем ТС: тип - Грузовая + Манипуль, кузов - Бортовой, грузоподемность/палеты/высота - Макс, доп.парам - Все","9059","test_transport_inner_edit_lke[lke]","tests","Mon Sep 29 02:01:24 SAMT 2025","broken","Mon Sep 29 02:01:33 SAMT 2025","","test_vehicle_edit_lke","",""
"ЛКЭ. Тест создания ДУ с ГВ: номер - №-timestamp, срок - с Сегодня по 40 год, коммент - ДУ создано автотестом","16498","test_extra_agreements_client_add_lke[lke]","tests","Sun Sep 28 22:39:09 SAMT 2025","passed","Sun Sep 28 22:39:26 SAMT 2025","","test_extra_agreement_add_lke","",""
"ЛКЭ. Тест сортировок списков адресов и тарифов по всем столбцам","63123","test_sorting_tariff_point_lke[lke]","tests","Mon Sep 29 00:43:51 SAMT 2025","passed","Mon Sep 29 00:44:54 SAMT 2025","","test_sorting","",""
"ЛКЭ. Тест делегирования пользователю права управления ЛК ПВ: делегируем - Второму, отменяем - Третьему","6223","test_delegation_producer_lke[lke]","tests","Sun Sep 28 22:24:54 SAMT 2025","passed","Sun Sep 28 22:25:00 SAMT 2025","","test_delegation_to_user_lke","",""
"ЛКЗ. Тест создания адреса: статус - Активный, заполняем поля - Все, редактируем поля - Все","51118","test_address_edit_lkz[lkz]","tests","Sun Sep 28 21:58:31 SAMT 2025","passed","Sun Sep 28 21:59:22 SAMT 2025","","test_address_edit","",""
"ЛКЗ, Тестирование: Создание ФТЛ заявки - город, грузоперевозка, новое ГМ, публикация на ЛКЭ","116706","test_add_new_ftl_lkz_lke[lkz]","tests","Sun Sep 28 21:50:13 SAMT 2025","broken","Sun Sep 28 21:52:10 SAMT 2025","","test_new_cdr","",""
"ЛКЗ, Тестирование фильтров новые доставки груза","1947","test_filters_new_ftl_lkz[lkz]","tests","Sun Sep 28 23:09:04 SAMT 2025","passed","Sun Sep 28 23:09:06 SAMT 2025","","test_filter_new_ftl","",""
"ЛКП. Тест сортировок списков водителей, специалистов и пользователей по всем столбцам","217878","test_sorting_employee_lkp[lkp]","tests","Mon Sep 29 00:53:59 SAMT 2025","passed","Mon Sep 29 00:57:37 SAMT 2025","","test_sorting","",""
"ЛКЭ. Тест создания пользователя: ФИО - ФИО-timestamp, тип - Пользователь, роль - Админ, тлф - Рандом, email - Etimestamp@mail.ru, часовой пояс - Екб, группа - Базовая группа, подразделение - База","28988","test_user_add_lke[lke]","tests","Mon Sep 29 01:37:17 SAMT 2025","passed","Mon Sep 29 01:37:46 SAMT 2025","","test_user_add_lke","",""
"ЛКЗ. Тест создания ГМ: тип - Короб, кол-во/вес/объем/цена/температура - Рандом, статус - Новое, название/накладная/штрихкод/пломба/внешний id - ГМ-timestamp, адреса - Первые из списка, гм - Удаляем","98798","test_cargo_place_add_lkz[lkz]","tests","Sun Sep 28 22:03:23 SAMT 2025","failed","Sun Sep 28 22:05:02 SAMT 2025","","test_cargo_place_add","",""
"ЛКЗ. Тест копирования ПРР тарифа: фильтр - ПРР, название - ПРР-timestamp, спец. - Старый, минималка/доплата/МКАД - Рандом, оригинал - Удаляем","8230","test_tariff_luo_copy_lkz[lkz]","tests","Mon Sep 29 01:18:24 SAMT 2025","passed","Mon Sep 29 01:18:32 SAMT 2025","","test_tariff_edit_lkz","",""
"Тест регистрации личного кабинета Грузовладельца: регистрация - По ссылке Экс, тлф. - 98+get_timestamp_eight_signs, инн - Рандом, лицо - Юридическое, почта - Etimestamp@mail.ru, пользователь - Регресс ГВ, после создания заходим в ЛК и проверяем ИНН, далее заходим в ЛК Экс и принимаем ГВ в контур Экс.,","35009","test_registration_new_lkz[via_link]","tests","Sun Sep 28 23:56:28 SAMT 2025","passed","Sun Sep 28 23:57:03 SAMT 2025","","test_registration","",""
"ЛКЭ. Тест создания ДУ с ПВ: номер - №-timestamp, срок - с Сегодня по 40 год, коммент - ДУ создано автотестом","15136","test_extra_agreements_producer_add_lke[lke]","tests","Sun Sep 28 22:39:44 SAMT 2025","passed","Sun Sep 28 22:39:59 SAMT 2025","","test_extra_agreement_add_lke","",""
"ЛКП. Тест создания и редактирования специалиста ПВ: 1) создаем: ФИО - ФИО-timestamp, паспорт - Азербайджан/Баку, тип - Упаковщик/Сборщик/Штабелерщик, годен до - 10.10.2045, № паспорт/код/права/тлф.апп/тлф. - Рандом.2) редактируем: ФИО - ФИО-timestamp, паспорт - РФ, тип - Грузчик/Такелажник/Стропальщик, годен до - 10.10.2045, № паспорт/код/права/тлф.апп/тлф. - Рандом.","60972","test_loader_edit_1_lkp[lkp]","tests","Sun Sep 28 23:26:20 SAMT 2025","broken","Sun Sep 28 23:27:21 SAMT 2025","","test_loader_edit","",""
"ЛКП. Тест создания FTL тарифа: тип - Почасовой, округление - Час, название - ПЧ-timestamp, ТС - 0.5т, кузов - Закрытый, минималка - Рандом","19258","test_ftl_h_tariff_add_lkp[lkp]","tests","Mon Sep 29 01:24:23 SAMT 2025","passed","Mon Sep 29 01:24:43 SAMT 2025","","test_tariff_ftl_add_lkp","",""
"ЛКЭ. Тест создания ПП Экс: номер - ПП-timestamp, модель - Полуприцеп, выпуск - 2023г, собственник - Подрядчик, тип - Грузовой, кузов - Тент, грузоподемность/объем/палеты/высота - Рандом, добавить/заменить - Тягач, эксплуатация - останавливаем/восстанавливаем","30628","test_trailer_add_lke[lke]","tests","Mon Sep 29 01:52:47 SAMT 2025","failed","Mon Sep 29 01:53:18 SAMT 2025","","test_vehicle_add_lke","",""
"ЛКЭ. Тест сортировок списков реестров по всем столбцам","60233","test_sorting_registries_lke[lke]","tests","Mon Sep 29 00:40:09 SAMT 2025","broken","Mon Sep 29 00:41:09 SAMT 2025","","test_sorting","",""
"ЛКЕ. Тест фильтров в разделе Все FTl-рейсы ","5700","test_filter_order_ftl_lke[lke]","tests","Sun Sep 28 23:10:50 SAMT 2025","failed","Sun Sep 28 23:10:56 SAMT 2025","","test_filter_old_ftl","",""
